lsof 4.94.0-1
lua 5.4.3-1
lua-sec 2:1.0.1-1
lua-socket 20200329-1
lua52 5.2.4-5
lua52-bitop 1.0.2-9
lua52-expat 1.3.0-5
lua52-lpeg 1.0.2-3
lua52-luajson 1.3.4-3
lua52-socket 20200329-1
luajit 2.0.5-3
luarocks 3.7.0-1
lvm2 2.03.12-1
lz4 1:1.9.3-2
lzo 2.10-3
m4 1.4.18-3
mailcap 2.1.53-1
make 4.3-3
man-db 2.9.4-1
man-pages 5.11-1
manjaro-alsa 20210109-1
manjaro-application-utility 1.3.3-4.1
manjaro-base-skel 20171029-3
manjaro-browser-settings 20201114-1
manjaro-documentation-en 20181009-1
manjaro-firmware 20160419-1
manjaro-hello 0.6.6-5
manjaro-hotfixes 2018.08-6
manjaro-icons 20191015-1
manjaro-keyring 20201216-1
manjaro-printer 20200215-2
manjaro-pulse 20210109-1
manjaro-release 21.0.6-1
manjaro-settings-manager 0.5.6-14
manjaro-settings-manager-notifier 0.5.6-14
manjaro-system 20210523-1
manjaro-wallpapers-18.0 1.4-3
manjaro-xfce-settings 20210124-1
manjaro-zsh-config 0.20-3
matcha-gtk-theme 20210602-0.1
md4c 0.4.8-1
mdadm 4.1-2
mediainfo 20.09-1
memtest86+ 5.01-4
menulibre 2.2.1-3
mesa 21.1.2-0
mesa-demos 8.4.0-4
mesa-vdpau 21.1.2-0
metis 5.1.0.p10-2
mhwd 0.6.5-2
mhwd-amdgpu 19.1.0-1
mhwd-ati 19.1.0-1
mhwd-db 0.6.5-7
mhwd-nvidia 465.31-1
mhwd-nvidia-390xx 390.143-1
minizip 1:1.2.11-4
mjpegtools 2.2.0-1
mkinitcpio 29-1.0
mkinitcpio-busybox 1.32.1-3
mkinitcpio-openswap 0.1.0-3
mlocate 0.26.git.20170220-7
mobile-broadband-provider-info 20201225-1
modemmanager 1.16.4-1
mousepad 0.5.5-2
mpfr 4.1.0-2
mpg123 1.27.2-1
mpv 1:0.33.1-2
mtdev 1.1.6-1
mtpfs 1.1-4
mugshot 0.4.3-1
mujs 1.1.2-1
mypaint-brushes1 1.3.1-1
nano 5.7-1
ncdu 1.15.1-2
ncurses 6.2-2
ndctl 71.1-1
neofetch 7.1.0-2
neon 0.31.2-1
nerd-fonts-cascadia-code 2.1.0-2
nerd-fonts-noto-sans-mono 2.0.0-1
net-snmp 5.9.1-1
netpbm 10.73.33-1
nettle 3.7.2-1
network-manager-applet 1.22.0-1
networkmanager 1.30.4-3
networkmanager-openconnect 1.2.7dev+65+gca4187c-1
networkmanager-openvpn 1.8.14-1
networkmanager-pptp 1.2.9dev+10+gb41b0d0-4
networkmanager-vpnc 1.2.7dev+20+gdca3aea-2
nextcloud-client 3.2.1-1
nextcloud-client-cloudproviders 3.2.1-1
nfs-utils 2.5.3-1
nfsidmap 2.5.3-1
nm-connection-editor 1.22.0-1
node-gyp 8.1.0-1
nodejs 16.2.0-1
noto-fonts 20201226-2
noto-fonts-emoji 20200916-1
npm 7.15.0-1
npth 1.6-3
nspr 4.31-1
nss 3.66-1
nss-mdns 0.14.1-3
ntfs-3g 2017.3.23-5
ntp 4.2.8.p15-1
numlockx 1.2-5
oath-toolkit 2.6.7-1
oniguruma 6.9.7.1-1
openal 1.21.1-1
openconnect 1:8.10-1
opencore-amr 0.1.5-5
openexr 3.0.3-1
openjpeg2 2.4.0-1
openmpi 4.0.5-3
openresolv 3.12.0-1
openssh 8.6p1-1
openssl 1.1.1.k-1
openvpn 2.5.2-1
opus 1.3.1-2
orc 0.4.32-1
os-prober 1.78-0.1
ostree 2021.2-1
p11-kit 0.23.22-1
p7zip 1:17.04-1
pacman 5.2.2-6
pacman-mirrors 4.21.3-2
pacman-pkgfile-hook 1.0.0-1
pam 1.5.1-1
pamac-cli 10.0.6-2
pamac-common 10.0.6-2
pamac-flatpak-plugin 10.0.6-2
pamac-gtk 10.0.6-2
pamac-snap-plugin 10.0.6-2
pambase 20200721.1-2
pango 1:1.48.5-1
pangomm 2.46.1-2
papirus-icon-theme 20210501-1
papirus-maia-icon-theme 20200702-1
parted 3.4-2
patch 2.7.6-8
pavucontrol 1:4.0-2
pciutils 3.7.0-1
pcre 8.44-1
pcre2 10.37-1
pcsclite 1.9.1-1
perl 5.34.0-1
perl-alien-build 2.40-3
perl-alien-libxml2 0.17-2
perl-capture-tiny 0.48-5
perl-clone 0.45-3
perl-dbi 1.643-3
perl-encode-locale 1.05-8
perl-error 0.17029-3
perl-ffi-checklib 0.28-2
perl-file-basedir 0.08-6
perl-file-chdir 0.1011-4
perl-file-desktopentry 0.22-8
perl-file-listing 6.14-2
perl-file-mimeinfo 0.30-2
perl-file-which 1.24-2
perl-html-parser 3.76-2
perl-html-tagset 3.20-11
perl-http-cookies 6.10-2
perl-http-daemon 6.06-3
perl-http-date 6.05-4
perl-http-message 6.32-2
perl-http-negotiate 6.01-9
perl-image-exiftool 12.26-2
perl-io-html 1.004-2
perl-ipc-system-simple 1.30-3
perl-libwww 6.54-2
perl-lwp-mediatypes 6.02-9
perl-mailtools 2.21-5
perl-net-http 6.21-2
perl-parse-yapp 1.21-4
perl-path-tiny 0.118-2
perl-timedate 2.33-3
perl-try-tiny 0.30-6
perl-uri 5.09-2
perl-www-robotrules 6.02-9
perl-xml-libxml 2.0207-2
perl-xml-namespacesupport 1.12-4
perl-xml-parser 2.46-3
perl-xml-sax 1.02-1
perl-xml-sax-base 1.09-4
perl-xml-writer 0.625-7
pinentry 1.1.1-1
pipewire 1:0.3.28-1
pixman 0.40.0-1
pkcs11-helper 1.27.0-1
pkgconf 1.7.3-1
pkgfile 21-2
polkit 0.118-1
polkit-gnome 0.105-8
polkit-qt5 0.113.0-2
poppler 21.05.0-1
poppler-data 0.4.10-1
poppler-glib 21.05.0-1
poppler-qt5 21.05.0-1
popt 1.18-1
portaudio 1:19.7.0-1
powerline-common 2.8.2-2
powerline-fonts 2.8.2-2
powertop 2.14-1
ppp 2.4.9-1
pptpclient 1.10.0-2
procps-ng 3.3.17-1
procs 0.11.8-1
prot16-xfce4-terminal 0.1.0-3
protobuf 3.16.0-1
psmisc 23.4-1
pulseaudio 14.2-3
pulseaudio-alsa 1:1.2.2-2
pulseaudio-bluetooth 14.2-3
pulseaudio-ctl 1.67-1
pulseaudio-equalizer 14.2-3
pulseaudio-jack 14.2-3
pulseaudio-lirc 14.2-3
pulseaudio-rtp 14.2-3
pulseaudio-zeroconf 14.2-3
python 3.9.5-3
python-appdirs 1.4.4-3
python-beautifulsoup4 4.9.3-4
python-cachecontrol 0.12.6-3
python-cairo 1.20.0-3
python-cffi 1.14.5-1
python-chardet 4.0.0-2
python-colorama 0.4.4-3
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.7-1
python-distlib 0.3.1-2
python-distro 1.5.0-3
python-distutils-extra 2.39-8
python-dnspython 1:1.16.0-3
python-docopt 0.6.2-9
python-gnupg 0.4.7-1
python-gobject 3.40.1-1
python-greenlet 1.1.0-1
python-html5lib 1.1-6
python-idna 3.1-1
python-keyutils 0.6-6
python-markdown 3.3.4-1
python-msgpack 1.0.2-2
python-npyscreen 4.10.5-5
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-pep517 0.10.0-2
python-pexpect 4.8.0-3
python-pillow 8.2.0-2
python-pip 20.3.1-1
python-ply 3.11-7
python-progress 1.5-5
